Country,Code,Product,Rank,Amount
CHAD,TCD,I5 - COSMETICS AND TOILETRIES,6,2
CHAD,TCD,H9 - AGRO CHEMICALS,7,2
CHAD,TCD,O5 - MOTOR VEHICLE/CARS,8,2
CHAD,TCD,"P8 - COTTON FABRICS, MADEUPS ETC.",9,2
CHAD,TCD,N6 - INDL. MACHNRY FOR DAIRY ETC,10,1
CHILE,CHL,O5 - MOTOR VEHICLE/CARS,1,340
CHILE,CHL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,140
CHILE,CHL,"Q3 - MANMADE YARN,FABRICS,MADEUPS",3,47
CHILE,CHL,O8 - TWO AND THREE WHEELERS,4,45
CHILE,CHL,"P8 - COTTON FABRICS, MADEUPS ETC.",5,44
CHILE,CHL,N4 - ELECTRIC MACHINERY AND EQUIPME,6,30
CHILE,CHL,F9 - LEATHER GOODS,7,23
CHILE,CHL,Q6 - RMG COTTON INCL ACCESSORIES,8,23
CHILE,CHL,N6 - INDL. MACHNRY FOR DAIRY ETC,9,21
CHILE,CHL,M3 - AUTO COMPONENTS/PARTS,10,21
CHINA,CHN,E8 - IRON ORE,1,2340
CHINA,CHN,S6 - PETROLEUM PRODUCTS,2,1756
CHINA,CHN,L3 - IRON AND STEEL,3,1379
CHINA,CHN,I3 - ORGANIC CHEMICALS,4,1347
CHINA,CHN,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",5,1227
CHINA,CHN,L6 - COPPER AND PRDCTS MADE OF COPR,6,1110
CHINA,CHN,E7 - MARINE PRODUCTS,7,1040
CHINA,CHN,B1 - SPICES,8,819
CHINA,CHN,P7 - COTTON YARN,9,755
CHINA,CHN,C2 - CASTOR OIL,10,466
COLOMBIA,COL,O8 - TWO AND THREE WHEELERS,1,281
COLOMBIA,COL,"P8 - COTTON FABRICS, MADEUPS ETC.",2,104
COLOMBIA,COL,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,97
COLOMBIA,COL,P7 - COTTON YARN,4,85
COLOMBIA,COL,O5 - MOTOR VEHICLE/CARS,5,65
COLOMBIA,COL,H9 - AGRO CHEMICALS,6,53
COLOMBIA,COL,M3 - AUTO COMPONENTS/PARTS,7,46
COLOMBIA,COL,"H5 - BULK DRUGS, DRUG INTERMEDIATES",8,39
COLOMBIA,COL,L3 - IRON AND STEEL,9,34
COLOMBIA,COL,"Q3 - MANMADE YARN,FABRICS,MADEUPS",10,33
COMOROS,COM,D7 - BUFFALO MEAT,1,4
COMOROS,COM,A3 - RICE -BASMOTI,2,3
COMOROS,COM,"P8 - COTTON FABRICS, MADEUPS ETC.",3,2
COMOROS,COM,R1 - RMG OF OTHR TEXTLE MATRL,4,2
COMOROS,COM,C4 - SUGAR,5,1
COMOROS,COM,L3 - IRON AND STEEL,6,1
COMOROS,COM,Q6 - RMG COTTON INCL ACCESSORIES,7,1
COMOROS,COM,I5 - COSMETICS AND TOILETRIES,8,1
COMOROS,COM,D2 - CEREAL PREPARATIONS,9,1
COMOROS,COM,J1 - FOOTWEAR OF RUBBER/CANVAS ETC.,10,0
CONGO,COG,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,147
CONGO,COG,O8 - TWO AND THREE WHEELERS,2,98
CONGO,COG,"P8 - COTTON FABRICS, MADEUPS ETC.",3,25
CONGO,COG,A4 - RICE(OTHER THAN BASMOTI),4,24
CONGO,COG,N4 - ELECTRIC MACHINERY AND EQUIPME,5,14
CONGO,COG,L4 - PRODUCTS OF IRON AND STEEL,6,12
CONGO,COG,N6 - INDL. MACHNRY FOR DAIRY ETC,7,11
CONGO,COG,D7 - BUFFALO MEAT,8,10
CONGO,COG,E6 - ALCOHOLIC BEVERAGES,9,10
CONGO,COG,O5 - MOTOR VEHICLE/CARS,10,10
DEMOCRATIC REPUBLIC OF CONGO,COD,A4 - RICE(OTHER THAN BASMOTI),1,26
DEMOCRATIC REPUBLIC OF CONGO,COD,O5 - MOTOR VEHICLE/CARS,2,17
DEMOCRATIC REPUBLIC OF CONGO,COD,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,17
DEMOCRATIC REPUBLIC OF CONGO,COD,D7 - BUFFALO MEAT,4,14
DEMOCRATIC REPUBLIC OF CONGO,COD,"P8 - COTTON FABRICS, MADEUPS ETC.",5,6
DEMOCRATIC REPUBLIC OF CONGO,COD,L4 - PRODUCTS OF IRON AND STEEL,6,5
DEMOCRATIC REPUBLIC OF CONGO,COD,K7 - PACKAGING MATERIALS,7,5
DEMOCRATIC REPUBLIC OF CONGO,COD,N6 - INDL. MACHNRY FOR DAIRY ETC,8,4
DEMOCRATIC REPUBLIC OF CONGO,COD,D2 - CEREAL PREPARATIONS,9,4
DEMOCRATIC REPUBLIC OF CONGO,COD,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",10,4
COSTA RICA,CRI,H9 - AGRO CHEMICALS,1,24
COSTA RICA,CRI,O5 - MOTOR VEHICLE/CARS,2,23
COSTA RICA,CRI,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,14
COSTA RICA,CRI,N6 - INDL. MACHNRY FOR DAIRY ETC,4,7
COSTA RICA,CRI,M8 - MEDICAL AND SCIENTIFIC INSTRUM,5,7
COSTA RICA,CRI,O8 - TWO AND THREE WHEELERS,6,6
COSTA RICA,CRI,I7 - RESIDUL CHEMICL AND ALLED PROD,7,4
COSTA RICA,CRI,L3 - IRON AND STEEL,8,3
COSTA RICA,CRI,J5 - CERAMICS AND ALLIED PRODUCTS,9,3
COSTA RICA,CRI,P3 - ELECTRONICS INSTRUMENTS,10,3
IVORY COAST,CIV,A4 - RICE(OTHER THAN BASMOTI),1,311
IVORY COAST,CIV,O5 - MOTOR VEHICLE/CARS,2,44
IVORY COAST,CIV,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,36
IVORY COAST,CIV,H9 - AGRO CHEMICALS,4,25
IVORY COAST,CIV,L4 - PRODUCTS OF IRON AND STEEL,5,18
IVORY COAST,CIV,N4 - ELECTRIC MACHINERY AND EQUIPME,6,14
IVORY COAST,CIV,N6 - INDL. MACHNRY FOR DAIRY ETC,7,13
IVORY COAST,CIV,S6 - PETROLEUM PRODUCTS,8,12
IVORY COAST,CIV,K8 - PLASTIC RAW MATERIALS,9,11
IVORY COAST,CIV,R9 - OTHER JUTE MANUFACTURES,10,11
CROATIA,HRV,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",1,290
CROATIA,HRV,I7 - RESIDUL CHEMICL AND ALLED PROD,2,22
CROATIA,HRV,"H5 - BULK DRUGS, DRUG INTERMEDIATES",3,13
CROATIA,HRV,J5 - CERAMICS AND ALLIED PRODUCTS,4,10
CROATIA,HRV,"H8 - DRUG FORMULATIONS, BIOLOGICALS",5,9
CROATIA,HRV,A2 - COFFEE,6,7
CROATIA,HRV,"F3 - GRANIT, NATRL STONE AND PRODCT",7,7
CROATIA,HRV,P2 - ELECTRONICS COMPONENTS,8,7
CROATIA,HRV,A9 - TOBACCO MANUFACTURED,9,6
CROATIA,HRV,K8 - PLASTIC RAW MATERIALS,10,6
CUBA,CUB,O5 - MOTOR VEHICLE/CARS,1,10
CUBA,CUB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,6
CUBA,CUB,J6 - GLASS AND GLASSWARE,3,1
CUBA,CUB,P3 - ELECTRONICS INSTRUMENTS,4,1
CUBA,CUB,"H5 - BULK DRUGS, DRUG INTERMEDIATES",5,1
CUBA,CUB,K6 - MOULDED AND EXTRUDED GOODS,6,1
CUBA,CUB,N6 - INDL. MACHNRY FOR DAIRY ETC,7,1
CUBA,CUB,I2 - INORGANIC CHEMICALS,8,0
CUBA,CUB,M8 - MEDICAL AND SCIENTIFIC INSTRUM,9,0
CUBA,CUB,"P8 - COTTON FABRICS, MADEUPS ETC.",10,0
CYPRUS,CYP,S6 - PETROLEUM PRODUCTS,1,31
CYPRUS,CYP,"H5 - BULK DRUGS, DRUG INTERMEDIATES",2,22
CYPRUS,CYP,I7 - RESIDUL CHEMICL AND ALLED PROD,3,6
CYPRUS,CYP,"H8 - DRUG FORMULATIONS, BIOLOGICALS",4,6
CYPRUS,CYP,L4 - PRODUCTS OF IRON AND STEEL,5,4
CYPRUS,CYP,E7 - MARINE PRODUCTS,6,3
CYPRUS,CYP,K4 - OPTICAL ITEMS (INCL.LENS ETC),7,2
CYPRUS,CYP,I8 - AUTO TYRES AND TUBES,8,2
CYPRUS,CYP,I3 - ORGANIC CHEMICALS,9,2
CYPRUS,CYP,L3 - IRON AND STEEL,10,2
CZECH REPUBLIC,CZE,P4 - TELECOM INSTRUMENTS,1,79
CZECH REPUBLIC,CZE,L4 - PRODUCTS OF IRON AND STEEL,2,51
CZECH REPUBLIC,CZE,M3 - AUTO COMPONENTS/PARTS,3,50
CZECH REPUBLIC,CZE,"H8 - DRUG FORMULATIONS, BIOLOGICALS",4,45
CZECH REPUBLIC,CZE,N4 - ELECTRIC MACHINERY AND EQUIPME,5,41
CZECH REPUBLIC,CZE,Q6 - RMG COTTON INCL ACCESSORIES,6,33
CZECH REPUBLIC,CZE,N6 - INDL. MACHNRY FOR DAIRY ETC,7,25
CZECH REPUBLIC,CZE,P3 - ELECTRONICS INSTRUMENTS,8,16
CZECH REPUBLIC,CZE,P2 - ELECTRONICS COMPONENTS,9,15
CZECH REPUBLIC,CZE,I7 - RESIDUL CHEMICL AND ALLED PROD,10,15
DENMARK,DNK,Q6 - RMG COTTON INCL ACCESSORIES,1,98
DENMARK,DNK,Q8 - RMG MANMADE FIBRES,2,72
DENMARK,DNK,N4 - ELECTRIC MACHINERY AND EQUIPME,3,54
DENMARK,DNK,"P8 - COTTON FABRICS, MADEUPS ETC.",4,50
DENMARK,DNK,L3 - IRON AND STEEL,5,43
DENMARK,DNK,L4 - PRODUCTS OF IRON AND STEEL,6,37
DENMARK,DNK,R1 - RMG OF OTHR TEXTLE MATRL,7,36
DENMARK,DNK,"H8 - DRUG FORMULATIONS, BIOLOGICALS",8,32
DENMARK,DNK,F9 - LEATHER GOODS,9,28
DENMARK,DNK,O1 - OTHER MISC. ENGINEERING ITEMS,10,27
DJIBOUTI,DJI,C4 - SUGAR,1,251
DJIBOUTI,DJI,A4 - RICE(OTHER THAN BASMOTI),2,148
DJIBOUTI,DJI,O5 - MOTOR VEHICLE/CARS,3,26
DJIBOUTI,DJI,D4 - MILLED PRODUCTS,4,26
DJIBOUTI,DJI,L3 - IRON AND STEEL,5,22
DJIBOUTI,DJI,A5 - WHEAT,6,21
DJIBOUTI,DJI,"P8 - COTTON FABRICS, MADEUPS ETC.",7,15
DJIBOUTI,DJI,D5 - MISC PROCESSED ITEMS,8,12
DJIBOUTI,DJI,K8 - PLASTIC RAW MATERIALS,9,11
DJIBOUTI,DJI,"J9 - PAPER, PAPER BOARD AND PRODUCT",10,10
DOMINICAN REPUBLIC,DMA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,60
DOMINICAN REPUBLIC,DMA,E7 - MARINE PRODUCTS,2,26
DOMINICAN REPUBLIC,DMA,O5 - MOTOR VEHICLE/CARS,3,26
DOMINICAN REPUBLIC,DMA,O8 - TWO AND THREE WHEELERS,4,20
DOMINICAN REPUBLIC,DMA,L3 - IRON AND STEEL,5,19
DOMINICAN REPUBLIC,DMA,P7 - COTTON YARN,6,13
DOMINICAN REPUBLIC,DMA,A8 - TOBACCO UNMANUFACTURED,7,11
DOMINICAN REPUBLIC,DMA,"P8 - COTTON FABRICS, MADEUPS ETC.",8,11
DOMINICAN REPUBLIC,DMA,H7 - DYES,9,9
DOMINICAN REPUBLIC,DMA,K8 - PLASTIC RAW MATERIALS,10,8
DOMINICA,DOM,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,1
DOMINICA,DOM,O8 - TWO AND THREE WHEELERS,2,0
DOMINICA,DOM,N4 - ELECTRIC MACHINERY AND EQUIPME,3,0
DOMINICA,DOM,J5 - CERAMICS AND ALLIED PRODUCTS,4,0
DOMINICA,DOM,"P8 - COTTON FABRICS, MADEUPS ETC.",5,0
DOMINICA,DOM,O5 - MOTOR VEHICLE/CARS,6,0
DOMINICA,DOM,"H5 - BULK DRUGS, DRUG INTERMEDIATES",7,0
DOMINICA,DOM,O1 - OTHER MISC. ENGINEERING ITEMS,8,0
DOMINICA,DOM,E6 - ALCOHOLIC BEVERAGES,9,0
DOMINICA,DOM,99 - OTHER COMMODITIES,10,0
ECUADOR,ECU,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,31
ECUADOR,ECU,O5 - MOTOR VEHICLE/CARS,2,29
ECUADOR,ECU,L3 - IRON AND STEEL,3,28
ECUADOR,ECU,O8 - TWO AND THREE WHEELERS,4,24
ECUADOR,ECU,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",5,15
ECUADOR,ECU,M3 - AUTO COMPONENTS/PARTS,6,14
ECUADOR,ECU,K8 - PLASTIC RAW MATERIALS,7,13
ECUADOR,ECU,"P8 - COTTON FABRICS, MADEUPS ETC.",8,10
ECUADOR,ECU,H9 - AGRO CHEMICALS,9,9
ECUADOR,ECU,P3 - ELECTRONICS INSTRUMENTS,10,7
EGYPT,EGY,D7 - BUFFALO MEAT,1,690
EGYPT,EGY,L3 - IRON AND STEEL,2,441
EGYPT,EGY,O5 - MOTOR VEHICLE/CARS,3,234
EGYPT,EGY,"Q3 - MANMADE YARN,FABRICS,MADEUPS",4,215
EGYPT,EGY,P7 - COTTON YARN,5,212
EGYPT,EGY,"H5 - BULK DRUGS, DRUG INTERMEDIATES",6,122
EGYPT,EGY,I7 - RESIDUL CHEMICL AND ALLED PROD,7,104
EGYPT,EGY,K8 - PLASTIC RAW MATERIALS,8,98
EGYPT,EGY,I3 - ORGANIC CHEMICALS,9,97
EGYPT,EGY,M3 - AUTO COMPONENTS/PARTS,10,88
EL SALVADOR,SLV,"P8 - COTTON FABRICS, MADEUPS ETC.",1,34
EL SALVADOR,SLV,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,29
EL SALVADOR,SLV,O8 - TWO AND THREE WHEELERS,3,26
EL SALVADOR,SLV,O5 - MOTOR VEHICLE/CARS,4,9
EL SALVADOR,SLV,P6 - MANMADE STAPLE FIBRE,5,5
EL SALVADOR,SLV,L3 - IRON AND STEEL,6,4
EL SALVADOR,SLV,"H5 - BULK DRUGS, DRUG INTERMEDIATES",7,4
EL SALVADOR,SLV,H7 - DYES,8,2
EL SALVADOR,SLV,N6 - INDL. MACHNRY FOR DAIRY ETC,9,2
EL SALVADOR,SLV,Q8 - RMG MANMADE FIBRES,10,2
EQUATORIAL GUINEA,GNQ,A4 - RICE(OTHER THAN BASMOTI),1,2
EQUATORIAL GUINEA,GNQ,"H8 - DRUG FORMULATIONS, BIOLOGICALS",2,1
EQUATORIAL GUINEA,GNQ,D7 - BUFFALO MEAT,3,1
EQUATORIAL GUINEA,GNQ,D2 - CEREAL PREPARATIONS,4,1
EQUATORIAL GUINEA,GNQ,K7 - PACKAGING MATERIALS,5,1
EQUATORIAL GUINEA,GNQ,D5 - MISC PROCESSED ITEMS,6,1
EQUATORIAL GUINEA,GNQ,L3 - IRON AND STEEL,7,1
EQUATORIAL GUINEA,GNQ,E6 - ALCOHOLIC BEVERAGES,8,0
EQUATORIAL GUINEA,GNQ,I5 - COSMETICS AND TOILETRIES,9,0
EQUATORIAL GUINEA,GNQ,K8 - PLASTIC RAW MATERIALS,10,0
ERITREA,ERI,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,4
ERITREA,ERI,I9 - OTHR RUBBER PRODCT EXCPT FOOTW,2,1
ERITREA,ERI,I1 - SURGICALS,3,1
ERITREA,ERI,M8 - MEDICAL AND SCIENTIFIC INSTRUM,4,0
ERITREA,ERI,I2 - INORGANIC CHEMICALS,5,0
ERITREA,ERI,L4 - PRODUCTS OF IRON AND STEEL,6,0
ERITREA,ERI,99 - OTHER COMMODITIES,7,0
ERITREA,ERI,D5 - MISC PROCESSED ITEMS,8,0
ERITREA,ERI,"H5 - BULK DRUGS, DRUG INTERMEDIATES",9,0
ERITREA,ERI,I8 - AUTO TYRES AND TUBES,10,0
ESTONIA,EST,I4 - OTHER MISCELLAENIOUS CHEMICALS,1,6
ESTONIA,EST,N4 - ELECTRIC MACHINERY AND EQUIPME,2,5
ESTONIA,EST,L4 - PRODUCTS OF IRON AND STEEL,3,5
ESTONIA,EST,I7 - RESIDUL CHEMICL AND ALLED PROD,4,3
ESTONIA,EST,N9 - OTHER CONSTRUCTION MACHINERY,5,2
ESTONIA,EST,I8 - AUTO TYRES AND TUBES,6,2
ESTONIA,EST,L3 - IRON AND STEEL,7,2
ESTONIA,EST,I3 - ORGANIC CHEMICALS,8,2
ESTONIA,EST,"Q3 - MANMADE YARN,FABRICS,MADEUPS",9,2
ESTONIA,EST,M2 - OTH NON FEROUS METAL AND PRODC,10,2
ETHIOPIA,ETH,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,165
ETHIOPIA,ETH,O5 - MOTOR VEHICLE/CARS,2,65
ETHIOPIA,ETH,N6 - INDL. MACHNRY FOR DAIRY ETC,3,31
ETHIOPIA,ETH,H9 - AGRO CHEMICALS,4,28
ETHIOPIA,ETH,A4 - RICE(OTHER THAN BASMOTI),5,27
ETHIOPIA,ETH,O8 - TWO AND THREE WHEELERS,6,24
ETHIOPIA,ETH,"P8 - COTTON FABRICS, MADEUPS ETC.",7,23
ETHIOPIA,ETH,"J9 - PAPER, PAPER BOARD AND PRODUCT",8,22
ETHIOPIA,ETH,L3 - IRON AND STEEL,9,16
ETHIOPIA,ETH,L4 - PRODUCTS OF IRON AND STEEL,10,13
FIJI ,FJI,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,5
FIJI ,FJI,A4 - RICE(OTHER THAN BASMOTI),2,4
FIJI ,FJI,N6 - INDL. MACHNRY FOR DAIRY ETC,3,3
FIJI ,FJI,"Q3 - MANMADE YARN,FABRICS,MADEUPS",4,3
FIJI ,FJI,Q6 - RMG COTTON INCL ACCESSORIES,5,3
FIJI ,FJI,Q8 - RMG MANMADE FIBRES,6,2
FIJI ,FJI,I5 - COSMETICS AND TOILETRIES,7,2
FIJI ,FJI,N4 - ELECTRIC MACHINERY AND EQUIPME,8,2
FIJI ,FJI,B1 - SPICES,9,1
FIJI ,FJI,R1 - RMG OF OTHR TEXTLE MATRL,10,1
FINLAND,FIN,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,38
FINLAND,FIN,L4 - PRODUCTS OF IRON AND STEEL,2,32
FINLAND,FIN,N4 - ELECTRIC MACHINERY AND EQUIPME,3,30
FINLAND,FIN,P3 - ELECTRONICS INSTRUMENTS,4,16
FINLAND,FIN,I8 - AUTO TYRES AND TUBES,5,15
FINLAND,FIN,N9 - OTHER CONSTRUCTION MACHINERY,6,14
FINLAND,FIN,L3 - IRON AND STEEL,7,13
FINLAND,FIN,"P8 - COTTON FABRICS, MADEUPS ETC.",8,9
FINLAND,FIN,Q6 - RMG COTTON INCL ACCESSORIES,9,8
FINLAND,FIN,I3 - ORGANIC CHEMICALS,10,8
FRENCH GUIANA,GUF,L4 - PRODUCTS OF IRON AND STEEL,1,1
FRENCH GUIANA,GUF,N6 - INDL. MACHNRY FOR DAIRY ETC,2,0
FRENCH GUIANA,GUF,I7 - RESIDUL CHEMICL AND ALLED PROD,3,0
FRENCH GUIANA,GUF,S2 - CARPET(EXCL. SILK) HANDMADE,4,0
FRENCH GUIANA,GUF,I2 - INORGANIC CHEMICALS,5,0
FRENCH GUIANA,GUF,O8 - TWO AND THREE WHEELERS,6,0
FRENCH GUIANA,GUF,K7 - PACKAGING MATERIALS,7,0
FRENCH GUIANA,GUF,"P8 - COTTON FABRICS, MADEUPS ETC.",8,0
FRENCH GUIANA,GUF,J5 - CERAMICS AND ALLIED PRODUCTS,9,0
FRENCH GUIANA,GUF,"J9 - PAPER, PAPER BOARD AND PRODUCT",10,0
FRENCH POLYNESIA,PYF,O5 - MOTOR VEHICLE/CARS,1,5
FRENCH POLYNESIA,PYF,Q6 - RMG COTTON INCL ACCESSORIES,2,1
FRENCH POLYNESIA,PYF,N9 - OTHER CONSTRUCTION MACHINERY,3,0
FRENCH POLYNESIA,PYF,O8 - TWO AND THREE WHEELERS,4,0
FRENCH POLYNESIA,PYF,D1 - PROCESSED FRUITS AND JUICES,5,0
FRENCH POLYNESIA,PYF,"P8 - COTTON FABRICS, MADEUPS ETC.",6,0
FRENCH POLYNESIA,PYF,K1 - PLYWOOD AND ALLIED PRODUCTS,7,0
FRENCH POLYNESIA,PYF,R1 - RMG OF OTHR TEXTLE MATRL,8,0
FRENCH POLYNESIA,PYF,O1 - OTHER MISC. ENGINEERING ITEMS,9,0
FRENCH POLYNESIA,PYF,L4 - PRODUCTS OF IRON AND STEEL,10,0
FRANCE,FRA,S6 - PETROLEUM PRODUCTS,1,438
FRANCE,FRA,N4 - ELECTRIC MACHINERY AND EQUIPME,2,426
FRANCE,FRA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,357
FRANCE,FRA,Q6 - RMG COTTON INCL ACCESSORIES,4,339
FRANCE,FRA,"O4 - AIRCRAFT, SPACECRAFT AND PARTS",5,193
FRANCE,FRA,L4 - PRODUCTS OF IRON AND STEEL,6,140
FRANCE,FRA,"P8 - COTTON FABRICS, MADEUPS ETC.",7,133
FRANCE,FRA,G9 - GOLD AND OTH PRECS METL JWLERY,8,130
FRANCE,FRA,G2 - FOOTWEAR OF LEATHER,9,121
FRANCE,FRA,P2 - ELECTRONICS COMPONENTS,10,118
GABON,GAB,D7 - BUFFALO MEAT,1,7
GABON,GAB,I7 - RESIDUL CHEMICL AND ALLED PROD,2,5
GABON,GAB,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",3,4
GABON,GAB,N9 - OTHER CONSTRUCTION MACHINERY,4,4
GABON,GAB,O5 - MOTOR VEHICLE/CARS,5,3
GABON,GAB,"P8 - COTTON FABRICS, MADEUPS ETC.",6,2
GABON,GAB,N6 - INDL. MACHNRY FOR DAIRY ETC,7,2
GABON,GAB,K7 - PACKAGING MATERIALS,8,2
GABON,GAB,L4 - PRODUCTS OF IRON AND STEEL,9,2
GABON,GAB,"J9 - PAPER, PAPER BOARD AND PRODUCT",10,2
GAMBIA,GMB,"P8 - COTTON FABRICS, MADEUPS ETC.",1,39
GAMBIA,GMB,A4 - RICE(OTHER THAN BASMOTI),2,27
GAMBIA,GMB,"H8 - DRUG FORMULATIONS, BIOLOGICALS",3,8
GAMBIA,GMB,Q8 - RMG MANMADE FIBRES,4,6
GAMBIA,GMB,"Q3 - MANMADE YARN,FABRICS,MADEUPS",5,6
GAMBIA,GMB,C4 - SUGAR,6,6
GAMBIA,GMB,J5 - CERAMICS AND ALLIED PRODUCTS,7,5
GAMBIA,GMB,N4 - ELECTRIC MACHINERY AND EQUIPME,8,5
GAMBIA,GMB,K6 - MOULDED AND EXTRUDED GOODS,9,3
GAMBIA,GMB,K7 - PACKAGING MATERIALS,10,3
GEORGIA,GEO,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,34
GEORGIA,GEO,D7 - BUFFALO MEAT,2,16
GEORGIA,GEO,L4 - PRODUCTS OF IRON AND STEEL,3,15
GEORGIA,GEO,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",4,14
GEORGIA,GEO,N6 - INDL. MACHNRY FOR DAIRY ETC,5,10
GEORGIA,GEO,A8 - TOBACCO UNMANUFACTURED,6,8
GEORGIA,GEO,K8 - PLASTIC RAW MATERIALS,7,5
GEORGIA,GEO,M8 - MEDICAL AND SCIENTIFIC INSTRUM,8,3
GEORGIA,GEO,N4 - ELECTRIC MACHINERY AND EQUIPME,9,3
GEORGIA,GEO,S6 - PETROLEUM PRODUCTS,10,2
GERMANY,DEU,N4 - ELECTRIC MACHINERY AND EQUIPME,1,581
GERMANY,DEU,Q6 - RMG COTTON INCL ACCESSORIES,2,498
GERMANY,DEU,L4 - PRODUCTS OF IRON AND STEEL,3,415
GERMANY,DEU,N6 - INDL. MACHNRY FOR DAIRY ETC,4,371
GERMANY,DEU,I3 - ORGANIC CHEMICALS,5,326
GERMANY,DEU,M3 - AUTO COMPONENTS/PARTS,6,325
GERMANY,DEU,I7 - RESIDUL CHEMICL AND ALLED PROD,7,286
GERMANY,DEU,P4 - TELECOM INSTRUMENTS,8,263
GERMANY,DEU,"H8 - DRUG FORMULATIONS, BIOLOGICALS",9,262
GERMANY,DEU,L3 - IRON AND STEEL,10,246
GHANA,GHA,"H8 - DRUG FORMULATIONS, BIOLOGICALS",1,143
GHANA,GHA,K8 - PLASTIC RAW MATERIALS,2,77
GHANA,GHA,O5 - MOTOR VEHICLE/CARS,3,58
GHANA,GHA,L4 - PRODUCTS OF IRON AND STEEL,4,55
GHANA,GHA,N6 - INDL. MACHNRY FOR DAIRY ETC,5,48
GHANA,GHA,N9 - OTHER CONSTRUCTION MACHINERY,6,47
GHANA,GHA,A4 - RICE(OTHER THAN BASMOTI),7,45
GHANA,GHA,R9 - OTHER JUTE MANUFACTURES,8,42
GHANA,GHA,"K9 - PLASTC SHT, FILM, PLTS ETC",9,38
GHANA,GHA,"J9 - PAPER, PAPER BOARD AND PRODUCT",10,31
GIBRALTAR,GIB,S6 - PETROLEUM PRODUCTS,1,350
GIBRALTAR,GIB,G9 - GOLD AND OTH PRECS METL JWLERY,2,0
GIBRALTAR,GIB,"G5 - PEARL, PRECS, SEMIPRECS STONES",3,0
GIBRALTAR,GIB,S2 - CARPET(EXCL. SILK) HANDMADE,4,0
GIBRALTAR,GIB,H1 - SPORTS GOODS,5,0
GIBRALTAR,GIB,Q6 - RMG COTTON INCL ACCESSORIES,6,0
GIBRALTAR,GIB,L2 - OTHER PLASTIC ITEMS,7,0
GIBRALTAR,GIB,Q7 - RMG SILK,8,0
GIBRALTAR,GIB,M8 - MEDICAL AND SCIENTIFIC INSTRUM,9,0
GIBRALTAR,GIB,P4 - TELECOM INSTRUMENTS,10,0
GREECE,GRC,"L5 - ALUMINIUM, PRODUCTS OF ALUMINM",1,370
GREECE,GRC,L3 - IRON AND STEEL,2,78
GREECE,GRC,E7 - MARINE PRODUCTS,3,48
GREECE,GRC,I7 - RESIDUL CHEMICL AND ALLED PROD,4,33
GREECE,GRC,"H5 - BULK DRUGS, DRUG INTERMEDIATES",5,30
GREECE,GRC,P3 - ELECTRONICS INSTRUMENTS,6,26
GREECE,GRC,"J9 - PAPER, PAPER BOARD AND PRODUCT",7,24
GREECE,GRC,K8 - PLASTIC RAW MATERIALS,8,18
GREECE,GRC,L4 - PRODUCTS OF IRON AND STEEL,9,15
GREECE,GRC,"Q3 - MANMADE YARN,FABRICS,MADEUPS",10,15
GRENADA,GRD,A9 - TOBACCO MANUFACTURED,1,1
GRENADA,GRD,O5 - MOTOR VEHICLE/CARS,2,1
GRENADA,GRD,L4 - PRODUCTS OF IRON AND STEEL,3,1
GRENADA,GRD,L3 - IRON AND STEEL,4,0
GRENADA,GRD,"H8 - DRUG FORMULATIONS, BIOLOGICALS",5,0
GRENADA,GRD,99 - OTHER COMMODITIES,6,0
GRENADA,GRD,H4 - AYUSH AND HERBAL PRODUCTS,7,0
GRENADA,GRD,I1 - SURGICALS,8,0
GRENADA,GRD,Q6 - RMG COTTON INCL ACCESSORIES,9,0
GRENADA,GRD,M8 - MEDICAL AND SCIENTIFIC INSTRUM,10,0
GUADELOUPE,GLP,E7 - MARINE PRODUCTS,1,0
GUADELOUPE,GLP,"P8 - COTTON FABRICS, MADEUPS ETC.",2,0
GUADELOUPE,GLP,N6 - INDL. MACHNRY FOR DAIRY ETC,3,0
GUADELOUPE,GLP,O5 - MOTOR VEHICLE/CARS,4,0
GUADELOUPE,GLP,L4 - PRODUCTS OF IRON AND STEEL,5,0
